ANO,MES,NCM,KG,oc,date
2009,5,31042090-0,102797945.99999996,1,1241136000000000000
2009,5,31054000-0,97076996.99999996,1,1241136000000000000
2009,5,31055900-0,10775801.999999996,1,1241136000000000000
2009,5,31059090-0,0.0,0,1241136000000000000
2009,11,31021010-0,0.0,0,1257033600000000000
2009,11,31022100-0,2055321.0000000084,1,1257033600000000000
2009,11,31042090-0,19238943.00000001,1,1257033600000000000
2009,11,31054000-0,19475862.000000007,1,1257033600000000000
2009,11,31055900-0,0.0,0,1257033600000000000
2009,11,31059090-0,0.0,0,1257033600000000000
2010,5,31021010-0,0.0,0,1272672000000000000
2010,5,31022100-0,14550736.000000011,1,1272672000000000000
2010,5,31042090-0,145905823.9999999,1,1272672000000000000
2010,5,31054000-0,71892999.00000006,1,1272672000000000000
2010,5,31055900-0,15759586.000000011,1,1272672000000000000
2010,5,31059090-0,0.0,0,1272672000000000000
2010,11,31021010-0,11788590.999999994,1,1288569600000000000
2010,11,31022100-0,10156630.000000007,1,1288569600000000000
2010,11,31042090-0,83312975.0,1,1288569600000000000
2010,11,31054000-0,32021630.0,1,1288569600000000000
2010,11,31055900-0,3030000.0000000065,1,1288569600000000000
2010,11,31059090-0,1816000.0000000184,1,1288569600000000000
2011,5,31021010-0,0.0,0,1304208000000000000
2011,5,31022100-0,33137886.0,1,1304208000000000000
2011,5,31042090-0,265087693.9999998,1,1304208000000000000
2011,5,31054000-0,145123053.99999997,1,1304208000000000000
2011,5,31055900-0,24993619.00000001,1,1304208000000000000
2011,5,31059090-0,5033400.000000028,1,1304208000000000000
2011,11,31021010-0,0.0,0,1320105600000000000
2011,11,31022100-0,0.0,0,1320105600000000000
2011,11,31042090-0,8112689.999999999,1,1320105600000000000
2011,11,31054000-0,7889407.0,1,1320105600000000000
2011,11,31055900-0,0.0,0,1320105600000000000
2011,11,31059090-0,0.0,0,1320105600000000000
2012,5,31021010-0,0.0,0,1335830400000000000
2012,5,31022100-0,27841899.000000007,1,1335830400000000000
2012,5,31042090-0,210584808.99999985,1,1335830400000000000
2012,5,31054000-0,107629114.99999996,1,1335830400000000000
2012,5,31055900-0,17470182.000000007,1,1335830400000000000
2012,5,31059090-0,0.0,0,1335830400000000000
2012,11,31021010-0,0.0,0,1351728000000000000
2012,11,31022100-0,5317283.000000004,1,1351728000000000000
2012,11,31042090-0,73254148.99999999,1,1351728000000000000
2012,11,31054000-0,23784381.000000037,1,1351728000000000000
2012,11,31055900-0,5685000.000000003,1,1351728000000000000
2012,11,31059090-0,4069780.0000000168,1,1351728000000000000
2013,5,31021010-0,22114947.00000001,1,1367366400000000000
2013,5,31022100-0,30879422.000000004,1,1367366400000000000
2013,5,31042090-0,262672548.99999988,1,1367366400000000000
