ANO,MES,NCM,KG,FOB,FRETE,date,KG_,FOB_,FRETE_,KG_s,FOB_s,FRETE_s
2009,9,31054000-1,25082442.999999985,7646521,778551,2009-09-01,7.39936983398278,6.883463885589427,5.891287066863177,0.19438475454622758,0.1286430372612155,0.15738732336705183
2009,10,31054000-1,16523443.0,5362649,599673,2009-10-01,7.218100546622656,6.729379372135218,5.777914495369403,0.12805125940019027,0.09021673631543636,0.12122365099886885
2010,5,31054000-1,13975764.000000015,6446655,552617,2010-05-01,7.145375558377058,6.809334429074858,5.742424240863936,0.10830637651899377,0.10845521061830021,0.11171036391517372
2010,7,31054000-1,12838303.999999993,5915407,508275,2010-07-01,7.108507655189929,6.771984630920539,5.706098749031725,0.0994908960436096,0.09951692706964106,0.10274576480209124
2010,8,31054000-1,14300427.000000026,6515020,460440,2010-08-01,7.155349005365422,6.8139157532606225,5.663173045245941,0.11082256200031154,0.10960545636944484,0.09307498769293286
2010,10,31054000-1,20855532.999999993,10513538,682155,2010-10-01,7.319221293486616,7.021748888750595,5.833883066733237,0.16162558712389594,0.17688079229243653,0.1378989941057488
2010,11,31054000-1,22871507.0,12572978,700583,2010-11-01,7.359294781144654,7.099438155632488,5.8454595947347885,0.1772496789037228,0.21153100965127947,0.1416245732960398
2011,3,31054000-1,31767709.999999978,19212323,1017533,2011-03-01,7.501985909501098,7.283579879441965,6.007548502895293,0.24619654635537164,0.32323843854959505,0.20570219020306912
2011,4,31054000-1,14008649.000000002,8414908,425195,2011-04-01,7.146396253762829,6.92504937220599,5.628588148877654,0.10856124005303708,0.14157120053167216,0.08594952434575429
2011,5,31054000-1,19401038.999999993,12333641,601065,2011-05-01,7.287824988687127,7.0910913030988745,5.778921439747997,0.15035304702704577,0.207504148430747,0.12150507091599959
2011,6,31054000-1,17966158.999999996,11415085,514271,2011-06-01,7.254455238855929,7.057479149719685,5.711192034927595,0.13923251828360073,0.19204938157360654,0.10395797300835263
2011,7,31054000-1,20467220.000000004,13462472,632647,2011-07-01,7.311058857774839,7.129124813037095,5.8011614529645,0.15861610488290487,0.22649680639184322,0.1278899874553837
2011,8,31054000-1,34085161.99999997,22231957,1037310,2011-08-01,7.532565362454729,7.3469776937782765,6.015908564653372,0.26415713649360906,0.37404398493315194,0.20970049602282087
2011,9,31054000-1,33453952.999999985,22676217,902929,2011-09-01,7.524447442422358,7.35557060431874,5.955653601785816,0.2592651749165984,0.38151868949547935,0.1825327590372285
2011,10,31054000-1,19749521.000000007,13397715,603125,2011-10-01,7.2955565668192115,7.1270307351177316,5.780407330687868,0.15305383322350358,0.22540726548484588,0.12192154004623616
2012,4,31054000-1,14266000.000000011,7439288,418423,2012-04-01,7.154302219684665,6.871531372042121,5.621615548943696,0.11055574774194098,0.12515632801310675,0.08458043262247174
2012,6,31054000-1,39194629.99999997,23094438,742081,2012-06-01,7.593226569032611,7.36350739821415,5.870451312196937,0.3037562568086965,0.3885552861207914,0.15001420240601898
2012,9,31054000-1,21599666.000000004,12835768,682187,2012-09-01,7.3344470356195215,7.108421858841793,5.833903439078915,0.16739272612886227,0.215952469183837,0.1379054635291311
2012,10,31054000-1,34056876.999999985,20262183,926627,2012-10-01,7.532204820847627,7.306686233412268,5.966904950497154,0.2639379236287645,0.34090240409185646,0.18732377139079462
2012,11,31054000-1,19087426.00000002,11345662,567866,2012-11-01,7.280747366352418,7.054829841301537,5.754245866826758,0.14792250065326,0.1908813349008688,0.11479324632632781
2013,7,31054000-1,29879173.0,16463675,516373,2013-07-01,7.47536857284527,7.216526784343786,5.7129635258918885,0.23156010986482242,0.2769922499532053,0.10438293325677848
2013,8,31054000-1,32785039.999999985,16747129,837463,2013-08-01,7.515675717871946,7.22394036562197,5.9229656285437535,0.25408100185448584,0.281761382684061,0.1692975318138949
2013,9,31054000-1,18421642.000000007,8760143,566160,2013-09-01,7.265328338116911,6.942511195620594,5.752939182597202,0.14276257779634793,0.14737980276814427,0.11444834519225812
2013,10,31054000-1,26355069.99999998,13167375,577002,2013-10-01,7.420864174054044,7.119499204222007,5.761177318506613,0.2042477989354338,0.2215317793981253,0.11664026670197893
2013,12,31054000-1,17206817.0,7346254,409798,2013-12-01,7.235700539869352,6.866065940193778,5.612569834516412,0.13334750731605988,0.12359102466765234,0.08283672085145698
2014,1,31054000-1,19415598.000000007,8035761,560237,2014-01-01,7.288150771348748,6.905027011460393,5.748371787752804,0.15046588139505981,0.135192026600432,0.11325089535808763
2014,5,31054000-1,26345999.999999993,13270653,394442,2014-05-01,7.420714687488031,7.1228922934235355,5.595983152205006,0.2041775051159486,0.22326943873677393,0.07973220630586828
2014,6,31054000-1,20437515.000000004,9510793,406097,2014-06-01,7.310428088752488,6.978216729468022,5.608629781195877,0.15838588681148144,0.16000953981336796,0.08208849160339604
2014,7,31054000-1,35391688.00000001,16519086,883312,2014-07-01,7.548901276726323,7.2179860141624665,5.946114130469039,0.27428290306437364,0.27792454377777454,0.17856680033438832
2014,9,31054000-1,48880760.99999997,23876789,1196322,2014-09-01,7.689137958599638,7.37797592156344,6.077848089352689,0.37882518117747593,0.40171839463616843,0.24184786948747003
