ANO,MES,k1,k2,k3,k4,k5,k6
2015,1,1656229.0000000093,0.0,13231228.000000017,0.0,0.0,0.0
2015,2,0.0,14295646.000000002,0.0,0.0,0.0,0.0
2015,3,3000424.0000000065,42669271.99999997,0.0,0.0,0.0,2516800.0000000186
2015,4,5380114.000000004,0.0,0.0,0.0,0.0,0.0
2015,5,2200700.0000000084,18098492.0,0.0,0.0,7894992.0,0.0
2015,6,0.0,23948297.99999999,0.0,0.0,0.0,0.0
2015,7,4575998.000000005,30635270.999999966,37086888.99999999,0.0,5210628.000000015,0.0
2015,8,7000000.000000001,17386979.999999996,0.0,0.0,9454588.999999998,0.0
2015,9,0.0,62532981.99999995,19938994.000000007,0.0,0.0,0.0
2015,10,8353952.999999999,88807111.99999994,20941745.00000004,0.0,14786878.000000011,6150411.000000002
2015,11,8446622.999999998,40048830.99999998,15495784.000000011,0.0,0.0,0.0
2015,12,0.0,23936356.99999999,0.0,0.0,0.0,5462535.000000025
2016,1,0.0,24229766.0,0.0,0.0,0.0,0.0
2016,2,1525000.0000000093,0.0,0.0,0.0,0.0,0.0
2016,3,0.0,0.0,0.0,0.0,8115285.999999999,0.0
2016,5,4827151.000000004,18066534.0,0.0,0.0,0.0,0.0
2016,6,0.0,50783759.99999997,0.0,0.0,4372515.000000015,5010640.000000015
2016,8,5200000.000000004,73037347.99999994,39426040.99999999,0.0,0.0,0.0
2016,9,8962329.999999998,36810873.99999999,27862543.000000007,0.0,9826918.999999996,0.0
2016,10,0.0,29602664.999999996,0.0,0.0,0.0,0.0
2016,11,0.0,25893041.000000007,0.0,0.0,0.0,0.0
2017,2,6001866.000000003,129030845.99999988,60407489.99999996,30804901.999999978,0.0,2610993.0000000075
2017,4,13094598.000000004,23834647.00000001,0.0,0.0,0.0,0.0
2017,5,0.0,24266409.999999985,0.0,0.0,10566656.000000007,2073612.0000000184
2017,6,3040366.0000000075,24557326.999999985,26741711.999999996,0.0,0.0,0.0
2017,7,0.0,26321707.999999985,0.0,0.0,4418776.000000005,0.0
2017,8,0.0,33710560.999999985,34753593.999999985,0.0,0.0,4006654.0000000056
2017,9,6503150.000000002,74323942.99999994,36478503.99999999,0.0,17186371.0,4066875.000000028
2017,10,0.0,52329944.99999996,31333054.0,0.0,10508340.999999996,0.0
2017,11,7503833.0,42192649.99999997,0.0,0.0,6025681.000000014,0.0
2017,12,0.0,28453702.000000004,0.0,0.0,0.0,2638416.000000052
