ANO,MES,KG_s,FOB_s,KG_k,FOB_k
2014,11,172355362.4,89053498.4,43209006.69999997,13848441.9
2014,12,172515182.4,89128285.2,45611468.99999997,14504847.8
2015,4,184716834.33333334,94545587.33333333,46635146.111111075,14984470.666666666
2015,5,193967683.66666666,95457881.33333333,47527937.44444441,15361131.111111112
2015,6,184657613.55555555,86740706.0,44839702.55555552,14638201.333333334
2015,7,185778003.66666666,83016439.8888889,44350452.666666634,14528606.111111112
2015,8,190645573.0,80074132.33333333,35930755.222222194,11935790.333333334
2015,9,212309617.2222222,86483040.66666667,36140723.11111108,11875678.333333334
2015,10,226244725.55555555,88331953.8888889,42573681.77777775,13828329.888888888
2015,11,263766794.44444445,101956843.8888889,39342142.333333306,12615406.777777778
2015,12,279737786.2222222,107945417.66666667,35049937.2222222,11014857.0
2016,1,260986763.2,100892014.8,33967920.09999998,10581405.5
2016,4,266631717.6,102722555.4,33904197.89999999,10542649.3
2016,5,270525894.9,103138467.8,33901002.09999999,10308434.6
2016,6,279008290.4,105529219.4,36584548.29999998,10575752.5
2016,7,255106686.7,96057001.5,34236029.999999985,9770020.7
2016,8,225872773.2,84808394.6,39801066.799999975,10775432.7
2016,9,216686333.7,81153475.9,37228855.999999985,9612076.3
2016,10,188348861.5,70489294.8,31308411.29999999,7423061.7
2016,11,156992709.4,58668420.7,29892832.299999993,6758922.9
2017,1,155785354.8888889,58162185.222222224,28418737.777777772,6134892.111111111
2017,2,140348341.1,52401954.6,38479948.59999998,8299992.2
2017,3,127842128.27272727,47738018.72727273,36126648.72727272,7809319.636363637
2017,4,134111227.0,50650152.54545455,37437262.99999999,8009901.0
2017,5,132454975.81818181,50900055.63636363,38000888.09090908,8170786.909090909
2017,6,142262749.0909091,54811126.27272727,35616666.90909089,7730490.181818182
2017,7,168332012.72727272,64390893.27272727,37359541.45454544,8181615.0
2017,8,187501922.54545453,71199799.36363636,33784378.99999999,7524815.454545454
2017,9,213845785.0909091,81103960.81818181,37194657.999999985,8522248.181818182
2017,10,236616028.8181818,89647230.72727273,39260774.363636345,9226989.636363637
2017,11,259431794.9090909,98125288.63636364,40742556.99999998,9782474.0
2017,12,252125025.25,95377557.0,39718485.74999998,9596422.583333334
2018,1,258070314.08333334,97381381.5,44712763.41666664,10934289.666666666
2018,2,258898826.0,97677387.75,36642017.749999985,9351127.916666666
2018,3,261126137.5,98523061.16666667,36593753.249999985,9380283.25
2018,4,262362112.0,99041888.58333333,35024742.74999998,9055158.833333334
2018,5,256773261.41666666,97418300.58333333,35180208.749999985,9131381.416666666
2018,6,250483364.0,96420739.5,33570385.74999999,8754196.833333334
2018,7,239175867.08333334,92943840.08333333,31647743.416666657,8284875.5
2018,8,257920966.25,101152037.41666667,36715870.49999998,9808458.083333334
2018,9,257610180.41666666,101609235.66666667,36736539.749999985,10053514.25
2018,10,256824668.91666666,101446551.5,42212015.74999997,11840543.083333334
2018,11,273218618.5833333,108123446.91666667,40474761.66666665,11429867.416666666
2018,12,304989909.75,120630517.41666667,47784782.333333306,13874653.333333334
2019,1,334317614.4166667,132263795.5,45360305.416666634,13392689.75
2019,2,346770534.5,137184783.5,46957737.24999996,14063289.0
2019,3,350268551.9166667,138559230.66666666,48584340.83333329,14639647.25
2019,4,342672859.0,135128590.33333334,51181048.58333329,15505992.75
2019,5,340951962.9166667,133372365.75,50914215.08333329,15614186.416666666
2019,6,341691693.5,131588604.66666667,53198018.16666663,16411622.416666666
2019,7,341899903.4166667,130305248.83333333,54064684.83333329,16724457.833333334
2019,8,317231398.5833333,119519231.25,49050260.99999996,15444918.833333334
2019,9,313136039.0833333,115942195.83333333,47254873.16666663,15079392.666666666
2019,10,331152566.6666667,121213379.83333333,39718568.41666664,12916526.75
2019,11,332613323.5,120195744.75,41131464.166666634,13422115.666666666
2019,12,310942548.5,111149235.16666667,40013857.583333306,13095054.25
2020,1,271068798.4166667,95546272.08333333,40582353.49999997,13285702.333333334
2020,2,259430361.91666666,90918645.66666667,37521430.166666634,12250576.833333334
2020,3,253810432.66666666,88721930.83333333,36910286.91666664,11952158.333333334
2020,4,260565109.75,90885000.08333333,34288035.74999998,11075632.75
2020,5,276371947.75,96005725.83333333,32627202.41666664,10493202.916666666
2020,6,270319348.5833333,93487881.83333333,30540528.416666646,9731668.916666666
