ANO,MES,NCM,KG,31022100-0,31021010-0,31042090-0,31054000-0,31059090-1,31055900-2,grupo_mes
2021,4,31021010-0,23962081.0,27003316.0,41754049.99999997,62534549.99999996,34419669.99999998,3026700.000000029,0.0,1
2021,4,31022100-0,17962836.999999996,27003316.0,41754049.99999997,62534549.99999996,34419669.99999998,3026700.000000029,0.0,1
2021,4,31042090-0,14326080.000000004,27003316.0,41754049.99999997,62534549.99999996,34419669.99999998,3026700.000000029,0.0,1
2021,4,31054000-0,18480294.000000007,27003316.0,41754049.99999997,62534549.99999996,34419669.99999998,3026700.000000029,0.0,1
2021,5,31021010-0,31350702.00000004,17962836.999999996,23962081.0,14326080.000000004,18480294.000000007,0.0,0.0,1
2021,5,31021010-0,49222422.00000006,26371319.000000007,55312783.000000045,31856640.0,30477824.000000015,3179470.0000000177,4113360.0000000177,2
2021,5,31021010-0,61159422.00000007,29235729.000000015,73184503.00000006,49873869.999999985,42239804.000000045,6189870.000000034,12113360.000000019,3
2021,5,31022100-0,8408482.000000011,17962836.999999996,23962081.0,14326080.000000004,18480294.000000007,0.0,0.0,1
2021,5,31022100-0,11272892.000000019,26371319.000000007,55312783.000000045,31856640.0,30477824.000000015,3179470.0000000177,4113360.0000000177,2
2021,5,31022100-0,22187923.000000037,29235729.000000015,73184503.00000006,49873869.999999985,42239804.000000045,6189870.000000034,12113360.000000019,3
2021,5,31042090-0,17530559.999999996,17962836.999999996,23962081.0,14326080.000000004,18480294.000000007,0.0,0.0,1
2021,5,31042090-0,35547789.999999985,26371319.000000007,55312783.000000045,31856640.0,30477824.000000015,3179470.0000000177,4113360.0000000177,2
2021,5,31042090-0,66274789.99999997,29235729.000000015,73184503.00000006,49873869.999999985,42239804.000000045,6189870.000000034,12113360.000000019,3
2021,5,31054000-0,11997530.000000006,17962836.999999996,23962081.0,14326080.000000004,18480294.000000007,0.0,0.0,1
2021,5,31054000-0,23759510.000000034,26371319.000000007,55312783.000000045,31856640.0,30477824.000000015,3179470.0000000177,4113360.0000000177,2
2021,5,31054000-0,42293560.00000003,29235729.000000015,73184503.00000006,49873869.999999985,42239804.000000045,6189870.000000034,12113360.000000019,3
2021,5,31055900-2,4113360.0000000177,17962836.999999996,23962081.0,14326080.000000004,18480294.000000007,0.0,0.0,1
2021,5,31055900-2,12113360.000000019,26371319.000000007,55312783.000000045,31856640.0,30477824.000000015,3179470.0000000177,4113360.0000000177,2
2021,5,31055900-2,16183865.000000045,29235729.000000015,73184503.00000006,49873869.999999985,42239804.000000045,6189870.000000034,12113360.000000019,3
2021,5,31059090-1,3179470.0000000177,17962836.999999996,23962081.0,14326080.000000004,18480294.000000007,0.0,0.0,1
2021,5,31059090-1,6189870.000000034,26371319.000000007,55312783.000000045,31856640.0,30477824.000000015,3179470.0000000177,4113360.0000000177,2
2021,5,31059090-1,6189870.000000034,26371319.000000007,55312783.000000045,31856640.0,30477824.000000015,3179470.0000000177,4113360.0000000177,3
2021,6,31021010-0,17871720.000000022,8408482.000000011,31350702.00000004,17530559.999999996,11997530.000000006,3179470.0000000177,4113360.0000000177,1
2021,6,31022100-0,2864410.0000000075,8408482.000000011,31350702.00000004,17530559.999999996,11997530.000000006,3179470.0000000177,4113360.0000000177,1
2021,6,31042090-0,18017229.999999985,8408482.000000011,31350702.00000004,17530559.999999996,11997530.000000006,3179470.0000000177,4113360.0000000177,1
2021,6,31054000-0,11761980.000000028,8408482.000000011,31350702.00000004,17530559.999999996,11997530.000000006,3179470.0000000177,4113360.0000000177,1
2021,6,31055900-2,8000000.0,8408482.000000011,31350702.00000004,17530559.999999996,11997530.000000006,3179470.0000000177,4113360.0000000177,1
2021,6,31059090-1,3010400.0000000168,8408482.000000011,31350702.00000004,17530559.999999996,11997530.000000006,3179470.0000000177,4113360.0000000177,1
2021,7,31021010-0,11937000.000000006,2864410.0000000075,17871720.000000022,18017229.999999985,11761980.000000028,3010400.0000000168,8000000.0,1
2021,7,31021010-0,23193000.000000026,13779441.000000028,29808720.00000003,48744229.99999997,30296030.00000003,3010400.0000000168,12070505.000000026,2
2021,7,31022100-0,10915031.00000002,2864410.0000000075,17871720.000000022,18017229.999999985,11761980.000000028,3010400.0000000168,8000000.0,1
2021,7,31022100-0,18815294.00000003,13779441.000000028,29808720.00000003,48744229.99999997,30296030.00000003,3010400.0000000168,12070505.000000026,2
2021,7,31042090-0,30726999.99999999,2864410.0000000075,17871720.000000022,18017229.999999985,11761980.000000028,3010400.0000000168,8000000.0,1
2021,7,31042090-0,68493999.99999999,13779441.000000028,29808720.00000003,48744229.99999997,30296030.00000003,3010400.0000000168,12070505.000000026,2
2021,7,31054000-0,18534050.0,2864410.0000000075,17871720.000000022,18017229.999999985,11761980.000000028,3010400.0000000168,8000000.0,1
2021,7,31054000-0,45985760.0,13779441.000000028,29808720.00000003,48744229.99999997,30296030.00000003,3010400.0000000168,12070505.000000026,2
2021,7,31055900-2,4070505.000000027,2864410.0000000075,17871720.000000022,18017229.999999985,11761980.000000028,3010400.0000000168,8000000.0,1
2021,7,31055900-2,12870505.000000026,13779441.000000028,29808720.00000003,48744229.99999997,30296030.00000003,3010400.0000000168,12070505.000000026,2
2021,8,31021010-0,11256000.00000002,10915031.00000002,11937000.000000006,30726999.99999999,18534050.0,0.0,4070505.000000027,1
2021,8,31021010-0,35889248.000000045,32257079.00000005,31193000.000000026,111577529.99999994,62129760.000000015,3880000.000000028,20370505.000000022,3
2021,8,31022100-0,7900263.000000011,10915031.00000002,11937000.000000006,30726999.99999999,18534050.0,0.0,4070505.000000027,1
2021,8,31022100-0,26592048.00000003,32257079.00000005,31193000.000000026,111577529.99999994,62129760.000000015,3880000.000000028,20370505.000000022,3
2021,8,31042090-0,37766999.99999999,10915031.00000002,11937000.000000006,30726999.99999999,18534050.0,0.0,4070505.000000027,1
2021,8,31042090-0,111231219.99999994,32257079.00000005,31193000.000000026,111577529.99999994,62129760.000000015,3880000.000000028,20370505.000000022,3
2021,8,31054000-0,27451710.0,10915031.00000002,11937000.000000006,30726999.99999999,18534050.0,0.0,4070505.000000027,1
2021,8,31054000-0,64239971.000000015,32257079.00000005,31193000.000000026,111577529.99999994,62129760.000000015,3880000.000000028,20370505.000000022,3
2021,8,31055900-2,8799999.999999998,10915031.00000002,11937000.000000006,30726999.99999999,18534050.0,0.0,4070505.000000027,1
2021,8,31055900-2,28564448.0,32257079.00000005,31193000.000000026,111577529.99999994,62129760.000000015,3880000.000000028,20370505.000000022,3
2021,8,31059090-1,3880000.000000028,7900263.000000011,11256000.00000002,37766999.99999999,27451710.0,0.0,8799999.999999998,3
2021,9,31021010-0,8000000.0,7900263.000000011,11256000.00000002,37766999.99999999,27451710.0,0.0,8799999.999999998,1
2021,9,31021010-0,24633248.000000022,21342048.00000003,19256000.000000022,80850529.99999996,43595710.000000015,3880000.000000028,16299999.999999998,2
2021,9,31022100-0,13441785.000000017,7900263.000000011,11256000.00000002,37766999.99999999,27451710.0,0.0,8799999.999999998,1
