ANO,MES,NCM,KG,FOB,FRETE
2023,6,31022100-0,60699615.99999992,10230049,1922696
2023,7,31022100-0,26420844.999999985,4508239,543243
2023,8,31022100-0,4000000.0000000056,931320,248000
2023,9,31022100-0,3024113.0000000065,811523,132000
2023,10,31022100-0,114749999.99999984,18472468,2595830
1997,4,31021010-0,531376.0000000102,98305,5250
1997,10,31021010-0,13539579.000000004,1444232,207000
1997,11,31021010-0,2532438.0000000084,296295,29994
1998,5,31021010-0,4521160.000000005,442989,54000
1998,10,31021010-0,9543738.00000002,3253460,286038
1999,12,31021010-0,3320000.0000000065,277512,26560
2000,1,31021010-0,8915820.999999998,784778,72868
2000,2,31021010-0,574116.0000000102,42772,5741
2000,8,31021010-0,8199999.999999999,1237016,65600
2000,9,31021010-0,23084849.0,3523132,184600
2000,10,31021010-0,38843152.99999998,5504824,314608
2000,11,31021010-0,20878142.99999998,2560704,208781
2001,6,31021010-0,3002313.0000000065,284651,30000
2001,8,31021010-0,19100771.999999985,1814573,152806
2001,10,31021010-0,21857003.99999998,2180236,174825
2001,12,31021010-0,27972376.999999996,3011441,226830
2002,10,31021010-0,11725069.000000006,1220258,189633
2002,11,31021010-0,62510815.99999994,6513714,507049
2003,3,31021010-0,27655803.99999997,3892554,219992
2003,6,31021010-0,1701819.0000000084,230817,17952
2003,7,31021010-0,3625175.000000007,455908,54000
2003,8,31021010-0,33330643.805421174,5604808,293995
2003,9,31021010-0,15779974.0,2438801,208616
2003,12,31021010-0,48203238.999999955,8072886,616143
2004,1,31021010-0,29951584.99999997,4622604,1065651
2004,3,31021010-0,28745890.99999997,4477173,900760
2004,8,31021010-0,25196158.99999997,4473371,680286
2004,9,31021010-0,31998977.999999978,6876347,961286
2004,11,31021010-0,30322113.999999966,6536291,887793
2004,12,31021010-0,28608590.99999997,6618478,992081
2005,2,31021010-0,31605069.999999963,5878543,1152618
2005,9,31021010-0,11499141.999999994,2423444,240528
2005,11,31021010-0,20917239.99999998,4371703,585862
2005,12,31021010-0,35401304.999999985,7500334,871348
2006,1,31021010-0,1501628.0000000093,362161,27000
2006,2,31021010-0,14735878.999999989,3256032,483391
2006,5,31021010-0,505587.0000000112,138731,9000
2006,12,31021010-0,20846583.99999998,4618051,744913
2007,10,31021010-0,12999999.999999993,4160000,904911
2007,11,31021010-0,20034937.999999985,6413172,1405343
2008,1,31021010-0,5501889.000000004,2511506,99000
2008,8,31021010-0,33058108.99999997,21691211,2252979
2009,10,31021010-0,5300049.000000004,1371804,210675
2010,11,31021010-0,11788590.999999994,3968684,530622
2013,6,31021010-0,7164975.000000001,2862583,218790
2013,8,31021010-0,11220357.999999994,4043430,329450
2013,9,31021010-0,3729614.0000000177,1338101,133502
2013,11,31021010-0,9887785.000000007,3156235,358460
2014,2,31021010-0,21318321.999999993,6843626,585010
2014,8,31021010-0,5264477.000000004,1697824,136500
2014,9,31021010-0,1832940.0000000084,635142,26400
2014,10,31021010-0,28026404.999999993,8496887,829500
2014,11,31021010-0,3541500.0000000177,1295842,65958
2014,12,31021010-0,7049632.000000012,2492497,180832
2015,1,31021010-0,2681783.0000000075,852542,78750
2015,7,31021010-0,1152000.0000000093,330321,18385
2015,8,31021010-0,3689138.0000000056,947289,68400
2015,9,31021010-0,4867613.000000004,1422953,90250
2017,1,31021010-0,30804901.999999978,6165050,619137
2017,2,31021010-0,5002676.000000004,1098482,109000
2017,3,31021010-0,5002341.000000004,1511247,83750
2017,4,31021010-0,5002340.000000004,1374732,83750
2017,9,31021010-0,25991058.99999997,1936336,259909
2017,10,31021010-0,9482048.999999998,2028901,157842
2017,11,31021010-0,6792664.000000002,1252018,238640
2017,12,31021010-0,11155618.999999994,3009818,255750
2018,1,31021010-0,8084966.999999999,2096714,186400
2018,2,31021010-0,14469999.999999989,2972680,240926
2018,3,31021010-0,4410420.000000005,1085664,114400
2018,6,31021010-0,7600558.0,1964485,222940
2018,7,31021010-0,3173352.0000000065,810363,92453
2018,8,31021010-0,16538219.000000007,4409368,387749
2018,9,31021010-0,8404838.999999998,2124906,153300
2018,10,31021010-0,7808933.0,2263819,179025
2018,11,31021010-0,64606675.99999993,18476837,1338575
2018,12,31021010-0,20309117.999999993,6353663,459375
2019,1,31021010-0,2000000.0000000084,583456,55000
2019,2,31021010-0,2000000.0000000084,640092,55000
2019,5,31021010-0,3000000.0000000065,851410,87750
2019,6,31021010-0,7000000.000000001,1787005,138600
2019,7,31021010-0,9045000.00000001,2306251,190025
2019,8,31021010-0,15599946.999999989,4184297,346399
2019,9,31021010-0,12078000.000000004,3503540,235490
2019,10,31021010-0,23767000.0,6551540,486485
2019,11,31021010-0,30233000.0,8154149,643328
2019,12,31021010-0,42421699.99999998,11326899,927119
2020,1,31021010-0,31695999.999999985,8237032,794641
2020,2,31021010-0,18981699.999999993,4524807,386085
2020,3,31021010-0,1039400.0000000102,326816,34200
2020,4,31021010-0,5096214.000000016,1208940,88241
2020,5,31021010-0,14571400.000000013,3466144,304414
2020,6,31021010-0,20257999.999999993,4800653,534710
2020,7,31021010-0,9634370.00000001,2392625,191942
2020,8,31021010-0,29774599.999999993,7210993,454653
2020,9,31021010-0,18866217.000000007,4403600,360591
2020,10,31021010-0,23430165.000000015,5929717,429005
2020,11,31021010-0,64838999.999999955,15376199,1187860
2020,12,31021010-0,13047030.000000004,3056843,294244
2021,1,31021010-0,26627539.999999993,6893440,617463
2021,2,31021010-0,6215310.000000002,1675210,143300
2021,3,31021010-0,41754049.99999997,10746333,843675
2021,4,31021010-0,23962080.999999996,6436302,560071
2021,5,31021010-0,31350702.000000034,10480158,1084980
2021,6,31021010-0,17871720.000000022,6601113,635176
2021,7,31021010-0,11937000.000000006,4445286,532713
2021,8,31021010-0,11256000.000000019,4318098,495820
2021,9,31021010-0,8000000.0,3006561,400800
2021,10,31021010-0,16633248.000000019,6741843,787873
2021,12,31021010-0,6335000.000000013,2747685,320646
2022,1,31021010-0,19004842.999999993,8382057,894188
2022,3,31021010-0,16501390.00000001,7972941,824125
2022,4,31021010-0,9185814.00000001,6879213,540013
2022,5,31021010-0,46801059.99999997,26198982,1868807
2022,6,31021010-0,8200000.000000021,4630790,368700
2022,7,31021010-0,25899999.999999985,14340944,1335330
2022,8,31021010-0,13503460.000000004,7567778,438760
2022,10,31021010-0,20399999.999999993,11219240,1153560
2022,11,31021010-0,30117179.999999993,14073355,1501334
2022,12,31021010-0,2100000.0000000205,1200767,181785
2023,1,31021010-0,21715045.000000015,11875572,1056713
2023,3,31021010-0,30999999.999999966,11849302,1371750
2023,4,31021010-0,37549253.999999985,13525383,1173122
2023,6,31021010-0,37231376.99999996,11672190,1304003
2023,7,31021010-0,3101138.0000000075,1614319,240400
2023,8,31021010-0,10499999.999999996,3098700,394800
2023,9,31021010-0,51600978.999999955,18015891,1444250
2023,10,31021010-0,34529999.999999985,12378509,838150
1997,4,31042090-0,7045252.0000000335,904919,90405
1997,5,31042090-0,4698701.000000016,599606,54000
1997,7,31042090-0,5549943.000000004,726693,66573
1997,8,31042090-0,10893080.000000007,1399195,135362
1997,10,31042090-0,17313924.999999996,2279638,211491
1997,11,31042090-0,10742192.999999996,1452907,126000
1997,12,31042090-0,13254302.000000015,1814142,162064
1998,4,31042090-0,8049864.0,1080232,96000
1998,5,31042090-0,18379141.00000002,4011395,367800
1998,6,31042090-0,3500000.0000000056,493500,42000
1998,7,31042090-0,9934300.000000019,1377011,124277
1998,8,31042090-0,7997608.000000011,1127663,96000
1998,9,31042090-0,4063000.0000000056,579783,53517
1998,10,31042090-0,15586580.000000011,2132169,187039
1998,11,31042090-0,10066000.000000007,1291853,125904
1998,12,31042090-0,6000000.000000003,869500,72000
1999,2,31042090-0,4486015.000000016,642014,52990
1999,6,31042090-0,11142249.000000007,1505834,138036
1999,8,31042090-0,4563000.000000017,635707,59328
1999,9,31042090-0,17275960.000000007,2320059,216188
1999,10,31042090-0,21500000.000000015,2897200,258000
1999,11,31042090-0,14229716.000000011,1906577,170508
1999,12,31042090-0,25066130.999999996,3356207,272475
2000,1,31042090-0,2500000.0000000075,332500,30000
2000,2,31042090-0,3037724.0000000065,414946,36000
2000,4,31042090-0,4462530.000000029,616324,39507
2000,7,31042090-0,12500000.000000004,1770445,150000
2000,8,31042090-0,27352718.99999998,3797324,335297
2000,9,31042090-0,4554049.000000005,625510,36400
2000,10,31042090-0,19777463.999999996,2811241,238121
2000,11,31042090-0,20024979.999999996,2731898,245635
2000,12,31042090-0,3187420.0000000186,441871,35070
2001,5,31042090-0,3500000.0000000056,506080,42000
2001,6,31042090-0,12564268.000000004,1819154,152692
2001,8,31042090-0,33429668.999999985,4352267,403063
2001,9,31042090-0,46033153.99999998,6101918,574390
2001,10,31042090-0,12445237.000000004,1635409,151066
2001,11,31042090-0,15310424.000000013,2015885,207386
2002,2,31042090-0,5116688.000000004,707555,60000
2002,4,31042090-0,5899653.000000025,720641,70800
2002,5,31042090-0,14218445.000000011,1830558,163912
2002,6,31042090-0,13048320.999999993,1597639,176352
2002,7,31042090-0,36233883.99999999,4397997,392264
2002,8,31042090-0,34240349.999999985,4217485,421148
2002,10,31042090-0,11375597.000000006,1378820,137105
2002,11,31042090-0,18342589.999999996,2272329,235389
2003,2,31042090-0,4027538.000000005,534588,48000
2003,3,31042090-0,7079036.000000001,814341,84000
2003,4,31042090-0,5775460.000000003,657667,68400
2003,5,31042090-0,15832788.0,1940997,196481
2003,6,31042090-0,13371641.000000004,1730489,132676
2003,7,31042090-0,31744999.999999974,3948842,385560
2003,8,31042090-0,2010000.0000000084,250222,24120
