ANO,MES,NCM,KG,FOB,FRETE
2008,9,31022100,6093619.000000003,2515617,180000
2008,9,31042090,23530898.999999978,19998482,1357728
2008,9,31054000,28090883.99999997,34285937,1821014
2008,10,31042090,36277697.99999997,33295712,1781619
2008,10,31054000,11722684.999999994,14783112,579810
2009,4,31042090,5043680.000000004,3722465,90000
2009,4,31054000,4200000.000000006,1667647,105000
2009,5,31022100,9000945.999999998,1362110,271350
2009,5,31054000,17570675.999999985,5795494,492720
2009,6,31042090,32499429.99999999,24169600,939398
2009,6,31054000,5558437.000000004,1961323,187825
2009,7,31054000,18174949.999999985,4983156,571410
2009,8,31022100,9191773.999999998,785749,376798
2009,8,31042090,37993476.99999998,22302309,1063632
2009,8,31054000,13957047.99999999,4045469,413230
2009,8,31055900,21551603.999999993,5700992,614610
2009,9,31042090,25277678.99999999,13850580,608670
2009,9,31054000,25082442.999999985,7646521,778551
2009,10,31021010,5300049.000000004,1371804,210675
2009,10,31022100,3015332.0000000065,397345,54000
2009,10,31042090,7003360.000000001,3317894,175000
2009,10,31054000,16523443.0,5362649,599673
2009,11,31042090,7000000.000000001,3716835,126000
2009,11,31054000,8410699.999999998,2679707,287701
2010,1,31042090,12190943.000000004,4999449,381000
2010,1,31054000,11065162.000000007,3605365,299000
2010,2,31022100,3000355.0000000065,345510,54000
2010,3,31042090,7107759.000000001,3149667,196000
2010,3,31054000,8723343.999999998,4260627,217975
2010,4,31042090,9177003.00000001,3647181,257000
2010,4,31054000,11777888.999999994,6162487,352800
2010,5,31022100,3505226.0000000065,528581,63000
2010,5,31042090,10037139.999999996,3540686,312500
2010,5,31054000,13955764.000000002,6429391,551243
2010,6,31042090,30288647.999999978,11204649,759000
2010,6,31054000,9902971.00000001,4596192,355373
2010,7,31022100,5038261.000000004,552188,90000
2010,7,31042090,25807190.99999997,8768236,1034643
2010,7,31054000,12838303.999999993,5915407,508275
2010,7,31055900,20471495.999999993,9167536,690844
2010,8,31022100,6007249.000000003,640324,108000
2010,8,31042090,10331245.999999996,3391247,401700
2010,8,31054000,14190427.000000002,6410555,456349
2010,8,31055900,11013116.000000007,4190758,359626
2010,9,31042090,38739441.99999998,13100733,1233300
2010,10,31042090,28051635.99999997,9249070,934992
2010,10,31054000,20855532.999999993,10513538,682155
2010,11,31021010,11788590.999999994,3968684,530622
2010,11,31022100,4008064.0000000056,528178,72000
2010,11,31042090,43812853.99999999,15351198,1246923
2010,11,31054000,22729306.99999999,12450559,691431
2010,11,31055900,6060000.000000013,2792086,193920
2010,11,31059090,1800000.0000000084,1599737,58664
2010,12,31022100,6148566.000000002,972279,108000
2010,12,31042090,8045171.00000001,2820951,214000
2011,1,31042090,30503617.99999999,11248934,941044
2011,1,31054000,9150122.999999998,5725748,188490
2011,2,31022100,4404017.000000006,862555,272860
2011,3,31042090,15331623.999999989,6136703,456502
2011,3,31054000,31767709.999999978,19212323,1017533
2011,4,31022100,3147385.0000000065,626181,88200
2011,4,31042090,39744333.99999998,16436044,1250126
2011,4,31054000,12584348.999999993,7545828,381042
2011,5,31022100,5002500.000000004,940563,147000
2011,5,31042090,56360926.99999994,24800811,1236313
2011,5,31054000,19401038.999999993,12333641,601065
2011,6,31022100,5550320.000000004,1067931,163625
2011,6,31042090,34991638.99999997,16367737,1033341
2011,6,31054000,17966158.999999996,11415085,514271
2011,6,31055900,21886061.999999993,13696498,656250
2011,7,31022100,9002490.999999998,1822356,289350
2011,7,31042090,43440662.99999996,20994850,1302313
2011,7,31054000,19967219.999999993,12849923,599015
2011,7,31059090,1025000.0000000102,1017767,30428
2011,8,31042090,35783994.999999985,18555866,1145098
2011,8,31054000,34085161.99999997,22231957,1037310
2011,9,31042090,54393784.999999955,28742469,1828060
2011,9,31054000,33453952.999999985,22676217,902929
2011,9,31055900,27778447.999999996,17967798,915360
2011,10,31022100,13582574.999999993,3176152,441525
2011,10,31042090,40116684.99999996,20289579,1238714
2011,10,31054000,19749521.000000007,13397715,603125
2011,10,31059090,4001200.0000000056,4028838,131039
2011,12,31042090,8112689.999999999,4265891,216000
2011,12,31054000,7889407.0,5316743,236628
2011,12,31055900,482736.0000000112,492924,35074
2012,2,31054000,7381785.000000001,4173741,165375
2012,4,31022100,4507519.000000005,873015,142425
2012,4,31042090,33827670.99999997,16102501,1260748
2012,4,31054000,14149999.999999989,7312236,410350
2012,4,31055900,300000.0000000112,348444,12790
2012,5,31022100,6060847.000000003,1343564,180900
2012,5,31042090,34316316.999999985,16869932,1048034
2012,5,31054000,12377941.999999993,6524105,311716
2012,6,31022100,5002148.000000004,1308354,145750
2012,6,31042090,107355040.99999988,52857713,2844074
2012,6,31054000,39094629.99999996,22985832,733091
2012,6,31055900,1200000.0000000205,1390138,53160
2012,7,31022100,6066980.000000003,1373899,198900
2012,7,31042090,32551498.999999963,16265932,975000
2012,7,31055900,1200000.0000000205,1369060,57160
2012,8,31055900,14335680.000000013,7213882,374194
2012,9,31054000,21579665.999999993,12812824,680862
2012,9,31055900,20104683.999999993,10716874,517000
2012,10,31022100,10711923.999999996,2000653,383720
2012,10,31042090,33748228.999999985,16752767,1000000
2012,10,31054000,34014876.99999997,20215768,922800
2012,11,31042090,42570742.99999997,21278994,1187800
2012,11,31054000,18715425.999999996,10932223,542520
2012,11,31059090,4029380.0000000056,3858001,104000
2012,12,31042090,29285405.999999993,14040260,887813
2012,12,31055900,11370000.000000006,4771240,341100
2013,1,31022100,5317283.000000004,1324439,132645
2013,1,31054000,4674955.000000005,2468045,138600
2013,2,31022100,4415065.000000006,882308,129800
2013,2,31042090,3000000.0000000065,1332601,103500
2013,3,31054000,7650000.0,3975643,145350
2013,3,31055900,300000.0000000112,340642,17575
2013,4,31042090,3500280.0000000056,1432863,105000
2013,4,31054000,5727423.000000003,2880558,118250
2013,4,31055900,400000.00000001024,454483,23060
2013,5,31042090,43712152.99999997,17616789,1350306
2013,5,31054000,5496249.000000004,2726223,152521
2013,5,31059090,2500000.0000000075,2374448,73750
2013,6,31021010,7164975.000000001,2862583,218790
2013,6,31022100,5653847.000000004,1265369,119638
2013,6,31042090,31863506.999999966,13296021,867500
