ANO,MES,NCM,PAIS,URF,KG,FOB,FRETE,SEGURO,z_diff,z_score_KG,z_score_FOB
2018,8,31042090,149,517800,13005564.999999993,4001983,270500,3914,-0.23528991915576253,0.656680558135874,0.40897468505644846
2018,8,31042090,158,517800,11151099.999999994,3127728,304091,1676,-0.059951694242038014,0.449132993100246,0.17263443163589803
2018,8,31042090,676,517600,7718287.0,2094119,183450,909,0.10654597717299377,0.06494025860665957,-0.10678451706643904
2018,8,31042090,676,517800,20571261.99999998,6067144,487025,1409,-0.5447005764323547,1.5034164038635394,0.9672565068295437
2018,9,31042090,149,517800,13899999.99999999,4235554,319700,5355,-0.2690097911104884,0.7567837179866351,0.47211670807226347
2018,9,31042090,158,517800,29766999.999999966,8605689,711432,5722,-0.9284630269452221,2.5325827837119563,1.6535097951944613
2018,9,31042090,676,517800,74368656.9999999,22334668,1812312,8152,-3.172706316569939,7.524300236942007,5.364910217342937
2018,10,31042090,149,517800,6001390.000000003,2020247,138000,2353,0.07003926642983563,-0.1272110043004184,-0.12675457980635235
2018,10,31042090,383,517600,5400000.000000004,1416347,96660,420,0.21351102589828763,-0.1945172247665778,-0.29000886950520494
2018,10,31042090,676,517800,9944210.999999996,3180198,249075,1093,-0.11383630803854845,0.31406068210042454,0.1868188207408803
2018,11,31042090,149,517800,56404660.99999993,18493006,1262566,16072,-2.7250969469748068,5.513810080422603,4.326380988872869
2018,11,31042090,676,517600,6315390.000000002,1764977,148050,501,0.14937618087770027,-0.09206882829753506,-0.19576256545203227
2018,11,31042090,676,517800,53453898.99999993,16629305,1432561,6436,-2.3183408400992116,5.183567413076678,3.8225605169966625
2018,12,31042090,85,517800,8999999.999999998,3091126,214200,1292,-0.12081669543022511,0.2083867039289006,0.16273969159357746
2018,12,31042090,149,517800,10770361.999999996,3534820,250400,3207,-0.18252647843477576,0.4065216497658964,0.28268496202517657
2018,12,31042090,676,517800,16073686.999999989,4762715,445431,4361,-0.34001623913563256,1.000057893557271,0.6146258894134405
2019,1,31042090,23,517800,10999999.999999996,3767943,208450,1826,-0.2379935241240202,0.4322222198708332,0.34570587571530015
2019,1,31042090,149,517800,26029140.999999974,8436154,615380,2826,-1.0055877353156726,2.1142499848203586,1.6076788364196726
2019,1,31042090,158,517800,2021647.0000000084,602106,62000,686,0.3224976625368695,-0.5726149181610655,-0.5101253392827898
2019,1,31042090,245,517800,5000000.000000004,1761623,165500,514,0.10701354870231779,-0.23928432795496435,-0.19666926339482071
2019,1,31042090,676,517800,7300292.000000001,2267317,196700,225,0.045974976649638934,0.018159195363585578,-0.059963327354132574
2019,2,31042090,149,517800,12277984.999999993,3987140,297450,2741,-0.2552108713534092,0.5752514357913583,0.4049621276429693
2019,2,31042090,158,517800,5055734.000000004,1505747,155050,1716,0.17801870830537087,-0.2330467036322105,-0.2658410710301637
2019,2,31042090,676,517800,14199999.99999999,4675870,386950,2595,-0.3781734722855193,0.790359045377925,0.5911487925614836
2019,3,31042090,676,517800,36167013.99999996,11716948,890542,9131,-1.5590135923127646,3.2488580015747526,2.4945867584568604
2019,4,31042090,149,517800,9954999.999999996,3488134,248875,2947,-0.19672676744134476,0.3152681627911733,0.27006418082153255
2019,4,31042090,676,517800,12974999.999999993,4309285,396357,2585,-0.3193693137382234,0.6532597918634914,0.4920486538145819
2019,5,31042090,158,517800,5040088.000000004,1580316,95250,1742,0.15734555311650075,-0.23479776887342424,-0.24568258596880627
2019,5,31042090,676,517800,27604999.99999997,9263116,619940,4451,-1.1773057412819505,2.2906165909787273,1.8312342163135995
2019,6,31042090,149,517800,13649999.99999999,4698910,341250,1422,-0.40249402463519,0.7288042784938935,0.597377272168474
2019,7,31042090,149,517800,17854999.999999985,5830530,507425,4118,-0.5700864922117999,1.1994184507618066,0.9032918595323018
2019,7,31042090,676,517800,16499999.999999989,5620613,395175,4236,-0.5579112217615895,1.0477698887111477,0.8465443007796706
2019,8,31042090,149,517800,17499999.999999985,5902362,437500,1759,-0.601182685574968,1.1596876466821135,0.9227104423070128
2019,8,31042090,383,517800,14977319.999999989,4770187,415859,1709,-0.37810080879606944,0.8773549570039164,0.6166458199526521
2019,8,31042090,676,517800,20549999.99999998,6699759,488300,2027,-0.7164168939456164,1.5010368084935606,1.138273417705251
2019,9,31042090,149,517800,14999999.999999989,5106927,480000,2772,-0.4683867984281723,0.8798932517546979,0.7076778608753076
2019,9,31042090,676,517800,12599999.999999993,4114593,241900,1561,-0.27907308386862495,0.611290632624379,0.43941691980224706
2019,10,31042090,149,517800,36300349.999999955,12084899,907500,5536,-1.6540969616220296,3.2637806677515684,2.5940561725137945
2019,10,31042090,676,517800,2000000.0000000084,598960,55500,245,0.32263606006139856,-0.575037601867863,-0.5109758078957929
2019,11,31042090,149,517800,51957045.99999993,17198526,1298900,11070,-2.5214587377431217,5.016042981304563,3.9764399176203926
2019,11,31042090,158,517800,5044625.000000004,1581738,95336,1744,0.15711038229354504,-0.23428999800550995,-0.24529817199306234
2019,11,31042090,676,517800,45760999.99999994,14182287,1272400,6668,-1.9098857824641278,4.322595404699589,3.1610500260705043
2019,12,31042090,23,517800,9999999.999999996,3162607,179500,1716,-0.10724571349695951,0.3203044618998668,0.18206338737427571
2019,12,31042090,149,517800,32665999.999999963,10513831,816650,4962,-1.3489357110372535,2.8570323640697874,2.1693441499792736
2020,1,31042090,23,517800,5020000.000000004,1620899,90585,375,0.14571382785616876,-0.237045972795545,-0.2347116489943924
2020,1,31042090,149,517800,8999999.999999998,2624210,225000,2480,0.0054062552719267715,0.2083867039289006,0.03651674089142565
2020,1,31042090,676,517800,600000.0000000102,168528,19770,71,0.39294362125300086,-0.7317224630272158,-0.6273359178869446
2020,2,31042090,85,517800,13199999.999999993,3662604,403260,1525,-0.1371485919501411,0.6784412874069589,0.31722923451214163
2020,2,31042090,676,517800,10999999.999999996,2925131,298000,873,-0.010153361167124217,0.4322222198708332,0.11786571275840434
2020,3,31042090,676,517800,4700000.000000005,1198641,127605,497,0.24933793645161514,-0.27285965534625417,-0.34886205445830715
2020,4,31042090,23,517800,3000000.0000000065,808261,76590,194,0.2989497043455568,-0.4631198438968968,-0.45439477446598736
2020,5,31042090,676,517800,7605000.0,1705024,187768,789,0.20800477951507804,0.0522614315594027,-0.21196985876270508
2020,6,31042090,23,517800,5000000.000000004,1152977,113500,279,0.27155084032021465,-0.23928432795496435,-0.3612065550127175
2020,6,31042090,85,517800,5500000.000000004,1265110,140250,474,0.2576848934232614,-0.18332544896948114,-0.3308932692587823
2020,6,31042090,149,517800,22349999.999999978,4709545,611250,1859,-0.11918532334229559,1.7024887728412998,0.6002522669870654
2020,6,31042090,676,517800,26936999.999999974,6048566,710991,2592,-0.33027942416105305,2.215855528654122,0.962234254479775
2020,7,31042090,85,517800,20349999.99999998,4677523,356175,1652,-0.17631806531644512,1.4786532568993673,0.5915956535332871
2020,7,31042090,676,517800,10929999.999999996,2346213,132909,542,0.14404483418455324,0.42438797681286555,-0.038635110033250514
2020,8,31042090,149,517800,15414999.999999989,3268839,256480,2077,0.04216091746956219,0.926339121312649,0.21078143622886839
2020,8,31042090,676,517800,6361190.000000002,1362772,76608,368,0.2596121685896394,-0.0869429949824648,-0.3044919769246718
2020,9,31042090,23,517800,22999999.999999978,4631575,522100,1318,-0.07672589415820819,1.7752353155224279,0.5791743783170545
2020,9,31042090,149,517800,11493999.999999994,2455552,183904,690,0.1330394579469678,0.4875095923084904,-0.009077135564989465
2020,9,31042090,676,517800,17551139.99999999,3764691,340075,620,-0.021616761220434433,1.1654111208247493,0.34482675177077177
2020,10,31042090,85,517800,15399999.999999989,3176421,290950,1400,0.06665116172741387,0.9246603549430845,0.18579777180530727
2020,10,31042090,676,517800,6393000.000000002,1414762,136030,421,0.2466039191745506,-0.08338289110140835,-0.2904373478115018
2020,11,31042090,85,517800,10684299.999999996,2847386,143688,1254,0.0004788527524262204,0.3968897836793991,0.09684864908455552
2020,11,31042090,149,517800,72844339.9999999,16003689,1264582,10658,-1.5113736846774857,7.3537020958649775,3.6534356690015684
2020,11,31042090,676,517800,20499319.99999998,4385811,563250,1914,-0.09254675968279946,1.495364816519592,0.5127361811758907
2020,12,31042090,149,517800,14999999.999999989,3330208,302850,1432,0.011919540931748074,0.8798932517546979,0.22737152151538748
2020,12,31042090,676,517800,493000.00000001024,111943,13175,164,0.40472070143906325,-0.7436976631301091,-0.6426327285884011
2021,1,31042090,23,517800,9999999.999999996,2385598,237000,1122,0.10280570624905118,0.3203044618998668,-0.027988032371734847
2021,1,31042090,676,517800,15743999.999999989,3507058,434668,1056,-0.011415265832407873,0.963160063685097,0.27517996849873255
2021,2,31042090,23,517800,5000000.000000004,1174675,113500,303,0.26568514802366605,-0.23928432795496435,-0.3553408627161689
2021,2,31042090,149,517800,14817079.999999989,3439641,391315,533,-0.023680939315681188,0.8594212554666487,0.25695490731537846
2021,2,31042090,676,517800,10641999.999999996,2372447,328500,860,0.12747924278375677,0.3921556625172272,-0.03154318581407565
2021,3,31042090,23,517800,7509380.0,1605488,176520,583,0.2317672874008799,0.041559855542218894,-0.23887775573151612
