ANO,MES,NCM,KG,k1,k2,k3,k4,k5,k6,grupo_mes
2005,11,31021010-0,56318544.99999997,0.0,44156199.99999997,0.0,20917239.99999998,0.0,0.0,2
2005,11,31021010-0,56318544.99999997,0.0,44156199.99999997,0.0,20917239.99999998,0.0,0.0,3
2005,11,31022100-0,6530692.000000002,0.0,0.0,0.0,35401304.999999985,0.0,0.0,3
2005,11,31042090-1,44156199.99999997,0.0,0.0,0.0,0.0,0.0,0.0,1
2005,11,31042090-1,44156199.99999997,0.0,0.0,0.0,0.0,0.0,0.0,2
2005,11,31042090-1,44156199.99999997,0.0,0.0,0.0,0.0,0.0,0.0,3
2005,12,31021010-0,35401304.999999985,0.0,44156199.99999997,0.0,20917239.99999998,0.0,0.0,1
2006,1,31022100-0,6530692.000000002,0.0,0.0,0.0,35401304.999999985,0.0,0.0,1
2006,1,31022100-0,7937301.000000011,6530692.000000002,0.0,0.0,35401304.999999985,0.0,0.0,2
2006,2,31022100-0,1406609.0000000093,6530692.000000002,0.0,0.0,0.0,0.0,0.0,1
2006,2,31022100-0,1406609.0000000093,6530692.000000002,0.0,0.0,0.0,0.0,0.0,3
2006,5,31022100-0,8401560.999999998,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,5,31022100-0,8401560.999999998,0.0,0.0,0.0,0.0,0.0,0.0,2
2006,5,31022100-0,12901943.000000004,0.0,0.0,0.0,0.0,0.0,0.0,3
2006,5,31054000-1,46079046.99999999,0.0,0.0,0.0,0.0,0.0,0.0,3
2006,7,31022100-0,4500382.000000005,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,7,31022100-0,10533336.000000007,4500382.000000005,0.0,46079046.99999999,0.0,0.0,0.0,2
2006,7,31042090-1,33144125.99999997,4500382.000000005,0.0,46079046.99999999,0.0,0.0,0.0,2
2006,7,31054000-1,46079046.99999999,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,7,31054000-1,46079046.99999999,0.0,0.0,0.0,0.0,0.0,0.0,2
2006,8,31022100-0,6032954.000000003,4500382.000000005,0.0,46079046.99999999,0.0,0.0,0.0,1
2006,8,31022100-0,9629106.00000001,10533336.000000007,33144125.99999997,46079046.99999999,0.0,0.0,0.0,3
2006,8,31042090-1,33144125.99999997,4500382.000000005,0.0,46079046.99999999,0.0,0.0,0.0,1
2006,8,31042090-1,69919674.99999997,8096534.000000011,0.0,46079046.99999999,0.0,0.0,0.0,3
2006,9,31022100-0,3596152.0000000065,6032954.000000003,33144125.99999997,0.0,0.0,0.0,0.0,1
2006,9,31022100-0,3596152.0000000065,6032954.000000003,33144125.99999997,0.0,0.0,0.0,0.0,2
2006,9,31042090-1,36775548.99999999,3596152.0000000065,0.0,0.0,0.0,0.0,0.0,2
2006,10,31042090-1,36775548.99999999,3596152.0000000065,0.0,0.0,0.0,0.0,0.0,1
2006,11,31021010-0,20846583.99999998,0.0,0.0,36946682.99999997,0.0,0.0,0.0,2
2006,11,31021010-0,20846583.99999998,0.0,0.0,36946682.99999997,0.0,0.0,0.0,3
2006,11,31022100-0,4125053.000000005,0.0,0.0,36946682.99999997,0.0,0.0,0.0,2
2006,11,31022100-0,6026644.000000013,4125053.000000005,0.0,36946682.99999997,20846583.99999998,0.0,0.0,3
2006,11,31054000-1,36946682.99999997,0.0,36775548.99999999,0.0,0.0,0.0,0.0,1
2006,11,31054000-1,36946682.99999997,0.0,36775548.99999999,0.0,0.0,0.0,0.0,2
2006,11,31054000-1,36946682.99999997,0.0,36775548.99999999,0.0,0.0,0.0,0.0,3
2006,12,31021010-0,20846583.99999998,0.0,0.0,36946682.99999997,0.0,0.0,0.0,1
2006,12,31022100-0,4125053.000000005,0.0,0.0,36946682.99999997,0.0,0.0,0.0,1
2007,1,31022100-0,1901591.0000000084,4125053.000000005,0.0,0.0,20846583.99999998,0.0,0.0,1
2007,1,31022100-0,5912020.000000014,6026644.000000013,0.0,0.0,20846583.99999998,0.0,0.0,2
2007,2,31022100-0,4010429.0000000056,1901591.0000000084,0.0,0.0,0.0,0.0,0.0,1
2007,2,31022100-0,8021246.000000011,5912020.000000014,0.0,0.0,0.0,0.0,0.0,3
2007,2,31055900-1,5003627.000000004,4010817.0000000056,0.0,0.0,0.0,0.0,0.0,3
2007,3,31022100-0,4010817.0000000056,4010429.0000000056,0.0,0.0,0.0,0.0,0.0,1
2007,3,31022100-0,4010817.0000000056,4010429.0000000056,0.0,0.0,0.0,0.0,0.0,2
2007,3,31055900-1,5003627.000000004,4010817.0000000056,0.0,0.0,0.0,0.0,0.0,2
2007,4,31055900-1,5003627.000000004,4010817.0000000056,0.0,0.0,0.0,0.0,0.0,1
2007,5,31022100-0,10732909.999999996,0.0,0.0,0.0,0.0,5003627.000000004,0.0,1
2007,5,31022100-0,15249529.0,10732909.999999996,14283000.0,40012999.99999995,0.0,5003627.000000004,0.0,2
2007,5,31022100-0,15249529.0,10732909.999999996,14283000.0,40012999.99999995,0.0,5003627.000000004,0.0,3
2007,5,31042090-1,14283000.0,0.0,0.0,0.0,0.0,5003627.000000004,0.0,1
2007,5,31042090-1,38166728.0,10732909.999999996,14283000.0,40012999.99999995,0.0,5003627.000000004,0.0,2
2007,5,31042090-1,38166728.0,10732909.999999996,14283000.0,40012999.99999995,0.0,5003627.000000004,0.0,3
2007,5,31054000-1,40012999.99999995,0.0,0.0,0.0,0.0,5003627.000000004,0.0,1
2007,5,31054000-1,71170249.99999994,10732909.999999996,14283000.0,40012999.99999995,0.0,5003627.000000004,0.0,2
2007,5,31054000-1,102402580.99999991,15249529.0,38166728.0,71170249.99999994,0.0,5003627.000000004,0.0,3
2007,6,31022100-0,4516619.000000005,10732909.999999996,14283000.0,40012999.99999995,0.0,0.0,0.0,1
2007,6,31042090-1,23883728.0,10732909.999999996,14283000.0,40012999.99999995,0.0,0.0,0.0,1
2007,6,31054000-1,31157249.99999999,10732909.999999996,14283000.0,40012999.99999995,0.0,0.0,0.0,1
